iter,lo,hi,mid,side,bbox,feasible,attempts,time_s
1,0.075,0.15,0.075,440,270x1912,0,7,3.1
2,0.075,0.11249999999999999,0.11249999999999999,447,315x1945,1,7,2.6
3,0.075,0.09375,0.09375,444,295x1924,1,7,3.0
4,0.075,0.084375,0.084375,442,278x1888,1,7,3.2
5,0.075,0.0796875,0.0796875,441,224x1801,1,15,5.8
6,0.075,0.07734374999999999,0.07734374999999999,440,268x1990,1,15,6.0
7,0.075,0.076171875,0.076171875,440,306x1875,1,15,6.0
8,0.0755859375,0.076171875,0.0755859375,440,356x1866,0,15,6.3
9,0.07587890625,0.076171875,0.07587890625,440,378x1965,0,15,6.3
10,0.076025390625,0.076171875,0.076025390625,440,309x1820,0,15,6.4
11,0.0760986328125,0.076171875,0.0760986328125,440,279x1816,0,15,6.4
