chip,lambda,area,aspect
n100,0.375,190800,1.1925
n100,0.4,189930,1.2487
n100,0.425,191196,1.0686
n100,0.45,190900,1.1084
n100,0.475,191438,1.2085
n100,0.5,189198,1.1039
n100,0.525,190773,1.0662
n100,0.55,190256,1.3457
n100,0.575,191774,1.3351
n100,0.6,191394,1.0161
n100,0.625,191199,1.2506
n200,0.375,183658,1.1421
n200,0.4,183138,1.1858
n200,0.425,184230,1.0749
n200,0.45,183150,1.3378
n200,0.475,184052,1.4522
n200,0.5,183708,1.2857
n200,0.525,183225,1.5043
n200,0.55,183141,1.437
n200,0.575,183540,1.2711
n200,0.6,183560,1.4731
n200,0.625,183120,1.7125
n300,0.4,287763,1.165
n300,0.45,286080,1.4318
n300,0.475,286749,1.3974
n300,0.5,285228,1.6403
n300,0.525,286512,1.9738
n300,0.55,285670,2.0755
