chip,d,side,wl_exact,overflow_cap,max_bin_density
n100,0.06,437,289706.9,41.9812,3.9924
n100,0.08,441,283269.3,35.6631,4.3913
n100,0.1,445,280144.2,32.9175,3.2869
n100,0.12,449,289565.1,32.5137,3.3465
n100,0.14,453,290353.6,28.9130,3.3481
n100,0.15,455,289924.0,26.6477,2.7328
n200,0.06,432,499995.6,37.1657,9.1469
n200,0.08,436,486098.0,30.3825,4.3113
n200,0.1,440,494554.1,34.5062,7.3031
n200,0.12,444,505479.8,31.6289,6.5603
n200,0.14,448,469978.0,25.6056,4.4853
n200,0.15,450,480743.0,22.4470,2.6477
n300,0.06,539,571139.7,33.6668,6.9542
n300,0.08,544,573762.5,26.8878,4.9519
n300,0.1,549,528038.8,38.3452,7.7717
n300,0.12,554,552391.5,24.5703,4.5272
n300,0.14,559,553887.9,24.7949,4.9489
n300,0.15,561,535329.0,20.9077,3.9843
