chip,arm,n_legal,min,median,max,spread_pct
n100,rand(定稿),16,225403.5,298390.75,312305.0,38.6
n100,analytic(x),8,238702.0,297184.75,310072.0,29.9
n100,analytic(y),8,266549.5,300445.0,305500.5,14.6
n100,analytic(xy),8,284574.5,300318.5,304333.5,6.9
n200,rand(定稿),18,380261.0,562829.75,574752.5,51.1
n200,analytic(x),6,392620.5,555555.25,583985.5,48.7
n200,analytic(y),7,395269.0,560286.0,578366.5,46.3
n200,analytic(xy),7,402723.5,559401.5,573789.5,42.5
n300,rand(定稿),18,530944.5,836309.75,878945.5,65.5
n300,analytic(x),5,543058.5,848923.5,860022.0,58.4
n300,analytic(y),7,563837.5,834787.0,853755.0,51.4
n300,analytic(xy),5,544721.5,835691.0,880406.0,61.6
