tag,method,chip,seed,exit_code,peak_mem_mb,cpu_time_s,wall_s,hpwl,utilization,W,H,legal,overlap_pairs,outline_violations,verify_msg,note
blf_n100_s0,blf,n100,20260808,0,2.0,0.0,,296120.5,0.8595,455,459,False,0,1,out of outline b9,
blf_n200_s0,blf,n200,20260808,0,2.0,0.0,,565144.5,0.8853,450,441,True,0,0,ok,
blf_n300_s0,blf,n300,20260808,0,2.0,0.0,,856529.5,0.8967,561,543,True,0,0,ok,
bstar_mem_n100_s0,bstar_mem,n100,20260808,0,2.0,5.19,,292891.5,0.8905,455,443,True,0,0,ok,
bstar_mem_n100_s1,bstar_mem,n100,20260809,0,2.0,2.37,,308124.5,0.8885,455,444,True,0,0,ok,
bstar_mem_n100_s2,bstar_mem,n100,20260810,0,2.0,1.42,,304631.5,0.8925,454,443,True,0,0,ok,
bstar_mem_n100_s3,bstar_mem,n100,20260811,0,2.0,2.44,,302303.0,0.8747,451,455,True,0,0,ok,
bstar_mem_n100_s4,bstar_mem,n100,20260812,0,2.0,5.65,,225403.5,0.8786,455,449,True,0,0,ok,
bstar_mem_n100_s5,bstar_mem,n100,20260813,0,2.0,4.32,,239281.5,0.8864,452,448,True,0,0,ok,
bstar_mem_n100_s6,bstar_mem,n100,20260814,0,2.0,1.9,,303028.5,0.8728,453,454,True,0,0,ok,
bstar_mem_n100_s7,bstar_mem,n100,20260815,0,2.0,2.86,,296532.0,0.8926,442,455,True,0,0,ok,
bstar_mem_n100_s8,bstar_mem,n100,20260816,0,2.0,2.34,,286381.0,0.8926,442,455,True,0,0,ok,
bstar_mem_n100_s9,bstar_mem,n100,20260817,0,2.0,5.72,,301636.0,0.9007,438,455,True,0,0,ok,
bstar_mem_n200_s0,bstar_mem,n200,20260808,0,2.0,143.75,,1726420.5,0.2678,270,2430,False,0,161,out of outline b0,
bstar_mem_n200_s1,bstar_mem,n200,20260809,0,2.0,64.76,,407733.5,0.8833,444,448,True,0,0,ok,
bstar_mem_n200_s2,bstar_mem,n200,20260810,0,2.0,143.9,,395322.5,0.8774,445,450,True,0,0,ok,
bstar_mem_n200_s3,bstar_mem,n200,20260811,0,2.0,34.21,,568671.5,0.8934,437,450,True,0,0,ok,
bstar_mem_n200_s4,bstar_mem,n200,20260812,0,2.0,145.61,,1839688.0,0.2884,227,2684,False,0,163,out of outline b0,
bstar_mem_n200_s5,bstar_mem,n200,20260813,0,2.0,24.2,,561424.0,0.8955,436,450,True,0,0,ok,
bstar_mem_n200_s6,bstar_mem,n200,20260814,0,2.0,147.1,,1747943.5,0.258,262,2599,False,0,160,out of outline b1,
bstar_mem_n200_s7,bstar_mem,n200,20260815,0,2.0,93.14,,570579.0,0.8754,447,449,True,0,0,ok,
bstar_mem_n200_s8,bstar_mem,n200,20260816,0,2.0,88.59,,380261.0,0.8696,449,450,True,0,0,ok,
bstar_mem_n200_s9,bstar_mem,n200,20260817,0,2.0,144.26,,1707807.0,0.2947,247,2414,False,0,168,out of outline b3,
bstar_mem_n300_s0,bstar_mem,n300,20260808,0,2.0,606.7,,3131948.0,0.265,276,3735,False,0,254,out of outline b0,
bstar_mem_n300_s1,bstar_mem,n300,20260809,0,2.0,560.7,,3122843.5,0.2357,302,3838,False,0,250,out of outline b0,
bstar_mem_n300_s2,bstar_mem,n300,20260810,0,2.0,89.28,,842820.0,0.924,527,561,True,0,0,ok,
bstar_mem_n300_s3,bstar_mem,n300,20260811,0,2.0,408.23,,542906.0,0.8695,560,561,True,0,0,ok,
bstar_mem_n300_s4,bstar_mem,n300,20260812,0,2.0,227.46,,866104.5,0.8789,554,561,True,0,0,ok,
bstar_mem_n300_s5,bstar_mem,n300,20260813,0,2.0,338.81,,539845.5,0.8821,561,552,True,0,0,ok,
bstar_mem_n300_s6,bstar_mem,n300,20260814,0,2.0,419.09,,530944.5,0.8789,555,560,True,0,0,ok,
bstar_mem_n300_s7,bstar_mem,n300,20260815,0,2.0,86.62,,837653.5,0.8805,553,561,True,0,0,ok,
bstar_mem_n300_s8,bstar_mem,n300,20260816,0,2.0,75.85,,835906.5,0.9222,528,561,True,0,0,ok,
bstar_mem_n300_s9,bstar_mem,n300,20260817,0,2.0,111.15,,844365.5,0.8711,561,559,True,0,0,ok,
otree_sa_n100_s0,otree_sa,n100,20260808,0,2.0,4.26,,296482.5,0.8806,455,448,True,0,0,ok,
otree_sa_n100_s1,otree_sa,n100,20260809,0,2.0,4.43,,303644.0,0.867,455,455,True,0,0,ok,
otree_sa_n100_s2,otree_sa,n100,20260810,0,2.0,4.13,,258926.5,0.909,455,434,True,0,0,ok,
otree_sa_n100_s3,otree_sa,n100,20260811,0,2.0,16.19,,399146.0,0.3583,617,812,False,0,47,out of outline b11,
otree_sa_n100_s4,otree_sa,n100,20260812,0,2.0,4.37,,304854.5,0.867,455,455,True,0,0,ok,
otree_sa_n100_s5,otree_sa,n100,20260813,0,2.0,4.73,,304528.5,0.8709,455,453,True,0,0,ok,
otree_sa_n100_s6,otree_sa,n100,20260814,0,2.0,4.13,,303546.5,0.869,455,454,True,0,0,ok,
otree_sa_n100_s7,otree_sa,n100,20260815,0,2.0,12.01,,306752.0,0.8728,453,454,True,0,0,ok,
otree_sa_n100_s8,otree_sa,n100,20260816,0,2.0,4.12,,302501.0,0.8747,453,453,True,0,0,ok,
otree_sa_n100_s9,otree_sa,n100,20260817,0,2.0,4.15,,301010.0,0.8826,455,447,True,0,0,ok,
otree_sa_n200_s0,otree_sa,n200,20260808,0,2.0,126.94,,574447.0,0.8735,450,447,True,0,0,ok,
otree_sa_n200_s1,otree_sa,n200,20260809,0,2.0,32.44,,559258.5,0.8774,450,445,True,0,0,ok,
otree_sa_n200_s2,otree_sa,n200,20260810,0,2.0,32.28,,562496.0,0.8735,450,447,True,0,0,ok,
otree_sa_n200_s3,otree_sa,n200,20260811,0,2.0,32.25,,562031.5,0.8735,450,447,True,0,0,ok,
otree_sa_n200_s4,otree_sa,n200,20260812,0,2.0,29.1,,565610.5,0.8754,449,447,True,0,0,ok,
