iter,lo,hi,mid,side,bbox,feasible,attempts,time_s
1,0.075,0.15,0.075,542,266x3783,0,2,158.8
2,0.11249999999999999,0.15,0.11249999999999999,552,285x3863,0,2,157.4
3,0.11249999999999999,0.13124999999999998,0.13124999999999998,556,268x3961,1,2,158.4
4,0.12187499999999998,0.13124999999999998,0.12187499999999998,554,285x3771,0,2,163.7
5,0.12187499999999998,0.12656249999999997,0.12656249999999997,555,276x3560,1,3,171.2
6,0.12421874999999998,0.12656249999999997,0.12421874999999998,555,286x3904,0,3,178.1
7,0.12421874999999998,0.12539062499999998,0.12539062499999998,555,318x3850,1,3,155.4
8,0.12421874999999998,0.12480468749999998,0.12480468749999998,555,273x3920,1,3,125.5
9,0.12451171874999997,0.12480468749999998,0.12451171874999997,555,268x3796,0,3,135.2
10,0.12451171874999997,0.12465820312499998,0.12465820312499998,555,268x3791,1,3,128.9
11,0.12451171874999997,0.12458496093749998,0.12458496093749998,555,270x3834,1,3,133.1
