iter,lo,hi,mid,side,bbox,feasible,attempts,time_s
1,0.075,0.15,0.075,440,335x2074,0,1,2.1
2,0.11249999999999999,0.15,0.11249999999999999,447,282x1942,0,1,2.2
3,0.11249999999999999,0.13124999999999998,0.13124999999999998,451,284x1938,1,1,1.3
4,0.12187499999999998,0.13124999999999998,0.12187499999999998,449,273x2027,0,1,2.2
5,0.12187499999999998,0.12656249999999997,0.12656249999999997,450,302x1845,1,3,0.1
6,0.12187499999999998,0.12421874999999998,0.12421874999999998,450,302x1845,1,3,0.1
7,0.12187499999999998,0.12304687499999997,0.12304687499999997,449,302x1845,1,3,0.1
8,0.12187499999999998,0.12246093749999998,0.12246093749999998,449,302x1845,1,3,0.2
9,0.12187499999999998,0.12216796874999998,0.12216796874999998,449,302x1845,1,3,0.2
10,0.12187499999999998,0.12202148437499999,0.12202148437499999,449,302x1845,1,3,0.2
11,0.12187499999999998,0.12194824218749999,0.12194824218749999,449,302x1845,1,3,0.2
