iter,lo,hi,mid,side,bbox,feasible,attempts,time_s
1,0.075,0.15,0.075,440,270x1912,0,1,4.8
2,0.11249999999999999,0.15,0.11249999999999999,447,315x1945,0,1,4.1
3,0.13124999999999998,0.15,0.13124999999999998,451,295x1924,0,1,4.3
4,0.13124999999999998,0.140625,0.140625,453,278x1888,1,1,3.2
5,0.1359375,0.140625,0.1359375,452,224x1801,0,3,5.4
6,0.1359375,0.13828125,0.13828125,453,268x1990,1,3,4.1
7,0.1359375,0.13710937499999998,0.13710937499999998,452,306x1875,1,3,4.8
8,0.1359375,0.13652343749999998,0.13652343749999998,452,356x1866,1,3,4.7
9,0.1359375,0.13623046875,0.13623046875,452,378x1965,1,3,4.9
10,0.1359375,0.136083984375,0.136083984375,452,309x1820,1,3,4.5
11,0.1359375,0.13601074218749998,0.13601074218749998,452,279x1816,1,3,2.3
12,0.1359375,0.13597412109374998,0.13597412109374998,452,312x2041,1,3,4.8
13,0.1359375,0.135955810546875,0.135955810546875,452,303x1759,1,3,4.3
14,0.1359375,0.1359466552734375,0.1359466552734375,452,292x1867,1,3,2.1
