iter,lo,hi,mid,side,bbox,feasible,attempts,time_s
1,0.075,0.15,0.075,542,266x3783,0,2,234.8
2,0.11249999999999999,0.15,0.11249999999999999,552,285x3863,0,2,232.0
3,0.11249999999999999,0.13124999999999998,0.13124999999999998,556,268x3961,1,2,252.0
4,0.12187499999999998,0.13124999999999998,0.12187499999999998,554,285x3771,0,2,296.2
5,0.12187499999999998,0.12656249999999997,0.12656249999999997,555,276x3560,1,5,302.8
6,0.12187499999999998,0.12421874999999998,0.12421874999999998,555,286x3904,1,5,327.2
7,0.12187499999999998,0.12304687499999997,0.12304687499999997,554,318x3850,1,5,320.6
8,0.12187499999999998,0.12246093749999998,0.12246093749999998,554,273x3920,1,5,290.4
9,0.12187499999999998,0.12216796874999998,0.12216796874999998,554,268x3796,1,5,294.4
10,0.12187499999999998,0.12202148437499999,0.12202148437499999,554,268x3791,1,5,286.9
11,0.12194824218749999,0.12202148437499999,0.12194824218749999,554,270x3834,0,5,314.6
