iter,lo,hi,mid,side,bbox,feasible,attempts,time_s
1,0.075,0.15,0.075,435,249x2504,0,7,52.6
2,0.075,0.11249999999999999,0.11249999999999999,443,228x2591,1,7,50.4
3,0.075,0.09375,0.09375,439,254x2438,1,7,50.9
4,0.084375,0.09375,0.084375,437,264x2737,0,7,48.9
5,0.084375,0.0890625,0.0890625,438,262x2672,1,15,88.3
6,0.084375,0.08671875000000001,0.08671875000000001,437,247x2528,1,15,95.9
7,0.084375,0.08554687500000001,0.08554687500000001,437,260x2579,1,15,96.4
8,0.084375,0.0849609375,0.0849609375,437,261x2777,1,15,97.6
9,0.08466796875,0.0849609375,0.08466796875,437,264x2511,0,15,97.4
10,0.08466796875,0.084814453125,0.084814453125,437,264x2466,1,15,94.6
11,0.08466796875,0.0847412109375,0.0847412109375,437,247x2597,1,15,90.9
